country,city,state,postal_code,region
United States,Henderson,Kentucky,42420,South
United States,Los Angeles,California,90036,West
United States,Fort Lauderdale,Florida,33311,South
United States,Los Angeles,California,90032,West
United States,Concord,North Carolina,28027,South
United States,Seattle,Washington,98103,West
United States,Fort Worth,Texas,76106,Central
United States,Madison,Wisconsin,53711,Central
United States,West Jordan,Utah,84084,West
United States,San Francisco,California,94109,West
United States,Fremont,Nebraska,68025,Central
United States,Philadelphia,Pennsylvania,19140,East
United States,Orem,Utah,84057,West
United States,Los Angeles,California,90049,West
United States,Houston,Texas,77095,Central
United States,Richardson,Texas,75080,Central
United States,Houston,Texas,77041,Central
United States,Naperville,Illinois,60540,Central
United States,Melbourne,Florida,32935,South
United States,Eagan,Minnesota,55122,Central
United States,Westland,Michigan,48185,Central
United States,Dover,Delaware,19901,East
United States,New Albany,Indiana,47150,Central
United States,New York City,New York,10024,East
United States,Troy,New York,12180,East
United States,Los Angeles,California,90004,West
United States,Chicago,Illinois,60610,Central
United States,Gilbert,Arizona,85234,West
United States,Springfield,Virginia,22153,South
United States,New York City,New York,10009,East
United States,Jackson,Michigan,49201,Central
United States,Memphis,Tennessee,38109,South
United States,Houston,Texas,77070,Central
United States,Decatur,Alabama,35601,South
United States,San Francisco,California,94122,West
United States,Durham,North Carolina,27707,South
United States,Chicago,Illinois,60623,Central
United States,Columbia,South Carolina,29203,South
United States,Rochester,Minnesota,55901,Central
United States,Minneapolis,Minnesota,55407,Central
United States,Portland,Oregon,97206,West
United States,Saint Paul,Minnesota,55106,Central
United States,Aurora,Colorado,80013,West
United States,Charlotte,North Carolina,28205,South
United States,Orland Park,Illinois,60462,Central
United States,New York City,New York,10035,East
United States,Urbandale,Iowa,50322,Central
United States,Columbus,Ohio,43229,East
United States,Bristol,Tennessee,37620,South
United States,Wilmington,Delaware,19805,East
United States,Bloomington,Illinois,61701,Central
United States,Phoenix,Arizona,85023,West
United States,Roseville,California,95661,West
United States,Independence,Missouri,64055,Central
United States,Pasadena,California,91104,West
United States,Newark,Ohio,43055,East
United States,Franklin,Wisconsin,53132,Central
United States,Scottsdale,Arizona,85254,West
United States,San Jose,California,95123,West
United States,Seattle,Washington,98105,West
United States,Seattle,Washington,98115,West
United States,Edmond,Oklahoma,73034,Central
United States,Los Angeles,California,90045,West
United States,Philadelphia,Pennsylvania,19134,East
United States,Carlsbad,New Mexico,88220,West
United States,San Antonio,Texas,78207,Central
United States,Houston,Texas,77036,Central
United States,Decatur,Illinois,62521,Central
United States,Monroe,Louisiana,71203,South
United States,Fairfield,Connecticut,6824,East
United States,Grand Prairie,Texas,75051,Central
United States,Redlands,California,92374,West
United States,Hamilton,Ohio,45011,East
United States,Westfield,New Jersey,7090,East
United States,Philadelphia,Pennsylvania,19120,East
United States,Akron,Ohio,44312,East
United States,Denver,Colorado,80219,West
United States,Dallas,Texas,75220,Central
United States,Franklin,Tennessee,37064,South
United States,Whittier,California,90604,West
United States,Saginaw,Michigan,48601,Central
United States,Medina,Ohio,44256,East
United States,Dublin,Ohio,43017,East
United States,Detroit,Michigan,48227,Central
United States,Columbia,Tennessee,38401,South
United States,Tampa,Florida,33614,South
United States,Santa Clara,California,95051,West
United States,Lakeville,Minnesota,55044,Central
United States,San Diego,California,92037,West
United States,Pasadena,Texas,77506,Central
United States,Brentwood,California,94513,West
United States,Chapel Hill,North Carolina,27514,South
United States,Morristown,New Jersey,7960,East
United States,Cincinnati,Ohio,45231,East
United States,San Francisco,California,94110,West
United States,Inglewood,California,90301,West
United States,Tamarac,Florida,33319,South
United States,Colorado Springs,Colorado,80906,West
United States,Belleville,New Jersey,7109,East
United States,Taylor,Michigan,48180,Central
United States,Lakewood,New Jersey,8701,East
United States,Arlington,Virginia,22204,South
United States,Arvada,Colorado,80004,West
United States,Hackensack,New Jersey,7601,East
United States,Saint Petersburg,Florida,33710,South
United States,Philadelphia,Pennsylvania,19143,East
United States,Long Beach,California,90805,West
United States,Hesperia,California,92345,West
United States,Murfreesboro,Tennessee,37130,South
United States,Layton,Utah,84041,West
United States,Austin,Texas,78745,Central
United States,Lowell,Massachusetts,1852,East
United States,Columbus,Georgia,31907,South
United States,Manchester,Connecticut,6040,East
United States,Harlingen,Texas,78550,Central
United States,Tucson,Arizona,85705,West
United States,Quincy,Illinois,62301,Central
United States,Franklin,Massachusetts,2038,East
United States,Pembroke Pines,Florida,33024,South
United States,Des Moines,Washington,98198,West
