order_id,order_date,ship_date,ship_mode
CA-2019-152156,2019-11-08,2019-11-11,Second Class
CA-2019-138688,2019-06-12,2019-06-16,Second Class
US-2018-108966,2018-10-11,2018-10-18,Standard Class
CA-2017-115812,2017-06-09,2017-06-14,Standard Class
CA-2020-114412,2020-04-15,2020-04-20,Standard Class
CA-2019-161389,2019-12-05,2019-12-10,Standard Class
US-2018-118983,2018-11-22,2018-11-26,Standard Class
CA-2017-105893,2017-11-11,2017-11-18,Standard Class
CA-2017-167164,2017-05-13,2017-05-15,Second Class
CA-2017-143336,2017-08-27,2017-09-01,Second Class
CA-2019-137330,2019-12-09,2019-12-13,Standard Class
US-2020-156909,2020-07-16,2020-07-18,Second Class
CA-2018-106320,2018-09-25,2018-09-30,Standard Class
CA-2019-121755,2019-01-16,2019-01-20,Second Class
US-2018-150630,2018-09-17,2018-09-21,Standard Class
CA-2020-107727,2020-10-19,2020-10-23,Second Class
CA-2019-117590,2019-12-08,2019-12-10,First Class
CA-2018-117415,2018-12-27,2018-12-31,Standard Class
CA-2020-120999,2020-09-10,2020-09-15,Standard Class
CA-2019-101343,2019-07-17,2019-07-22,Standard Class
CA-2020-139619,2020-09-19,2020-09-23,Standard Class
CA-2019-118255,2019-03-11,2019-03-13,First Class
CA-2017-146703,2017-10-20,2017-10-25,Second Class
CA-2019-169194,2019-06-20,2019-06-25,Standard Class
CA-2018-115742,2018-04-18,2018-04-22,Standard Class
CA-2019-105816,2019-12-11,2019-12-17,Standard Class
CA-2019-111682,2019-06-17,2019-06-18,First Class
CA-2018-135545,2018-11-24,2018-11-30,Standard Class
US-2018-164175,2018-04-30,2018-05-05,Standard Class
CA-2017-106376,2017-12-05,2017-12-10,Standard Class
CA-2019-119823,2019-06-04,2019-06-06,First Class
CA-2019-106075,2019-09-18,2019-09-23,Standard Class
CA-2020-114440,2020-09-14,2020-09-17,Second Class
US-2018-134026,2018-04-26,2018-05-02,Standard Class
US-2020-118038,2020-12-09,2020-12-11,First Class
US-2017-147606,2017-11-26,2017-12-01,Second Class
CA-2019-127208,2019-06-12,2019-06-15,First Class
CA-2017-139451,2017-10-12,2017-10-16,Standard Class
CA-2018-149734,2018-09-03,2018-09-08,Standard Class
US-2020-119662,2020-11-13,2020-11-16,First Class
CA-2020-140088,2020-05-28,2020-05-30,Second Class
CA-2020-155558,2020-10-26,2020-11-02,Standard Class
CA-2019-159695,2019-04-05,2019-04-10,Second Class
CA-2019-109806,2019-09-17,2019-09-22,Standard Class
CA-2018-149587,2018-01-31,2018-02-05,Second Class
US-2020-109484,2020-11-06,2020-11-12,Standard Class
CA-2020-161018,2020-11-09,2020-11-11,Second Class
CA-2020-157833,2020-06-17,2020-06-20,First Class
